DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
16,LEC,,Ferrari,,Charles,Leclerc,Charles Leclerc,,,,,,,,,,,2019,Bahrain Grand Prix
5,VET,,Ferrari,,Sebastian,Vettel,Sebastian Vettel,,,,,,,,,,,2019,Bahrain Grand Prix
44,HAM,,Mercedes,,Lewis,Hamilton,Lewis Hamilton,,,,,,,,,,,2019,Bahrain Grand Prix
77,BOT,,Mercedes,,Valtteri,Bottas,Valtteri Bottas,,,,,,,,,,,2019,Bahrain Grand Prix
33,VER,,Red Bull Racing,,Max,Verstappen,Max Verstappen,,,,,,,,,,,2019,Bahrain Grand Prix
20,MAG,,Haas F1 Team,,Kevin,Magnussen,Kevin Magnussen,,,,,,,,,,,2019,Bahrain Grand Prix
55,SAI,,McLaren,,Carlos,Sainz,Carlos Sainz,,,,,,,,,,,2019,Bahrain Grand Prix
7,RAI,,Alfa Romeo Racing,,Kimi,Räikkönen,Kimi Räikkönen,,,,,,,,,,,2019,Bahrain Grand Prix
4,NOR,,McLaren,,Lando,Norris,Lando Norris,,,,,,,,,,,2019,Bahrain Grand Prix
3,RIC,,Renault,,Daniel,Ricciardo,Daniel Ricciardo,,,,,,,,,,,2019,Bahrain Grand Prix
8,GRO,,Haas F1 Team,,Romain,Grosjean,Romain Grosjean,,,,,,,,,,,2019,Bahrain Grand Prix
23,ALB,,Toro Rosso,,Alexander,Albon,Alexander Albon,,,,,,,,,,,2019,Bahrain Grand Prix
10,GAS,,Red Bull Racing,,Pierre,Gasly,Pierre Gasly,,,,,,,,,,,2019,Bahrain Grand Prix
11,PER,,Racing Point,,Sergio,Perez,Sergio Perez,,,,,,,,,,,2019,Bahrain Grand Prix
26,KVY,,Toro Rosso,,Daniil,Kvyat,Daniil Kvyat,,,,,,,,,,,2019,Bahrain Grand Prix
99,GIO,,Alfa Romeo Racing,,Antonio,Giovinazzi,Antonio Giovinazzi,,,,,,,,,,,2019,Bahrain Grand Prix
27,HUL,,Renault,,Nico,Hulkenberg,Nico Hulkenberg,,,,,,,,,,,2019,Bahrain Grand Prix
18,STR,,Racing Point,,Lance,Stroll,Lance Stroll,,,,,,,,,,,2019,Bahrain Grand Prix
63,RUS,,Williams,,George,Russell,George Russell,,,,,,,,,,,2019,Bahrain Grand Prix
88,KUB,,Williams,,Robert,Kubica,Robert Kubica,,,,,,,,,,,2019,Bahrain Grand Prix
