DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
33,VER,,Red Bull Racing,,Max,Verstappen,Max Verstappen,,,,,,,,,,,2021,Styrian Grand Prix
44,HAM,,Mercedes,,Lewis,Hamilton,Lewis Hamilton,,,,,,,,,,,2021,Styrian Grand Prix
4,NOR,,McLaren,,Lando,Norris,Lando Norris,,,,,,,,,,,2021,Styrian Grand Prix
11,PER,,Red Bull Racing,,Sergio,Perez,Sergio Perez,,,,,,,,,,,2021,Styrian Grand Prix
77,BOT,,Mercedes,,Valtteri,Bottas,Valtteri Bottas,,,,,,,,,,,2021,Styrian Grand Prix
10,GAS,,AlphaTauri,,Pierre,Gasly,Pierre Gasly,,,,,,,,,,,2021,Styrian Grand Prix
16,LEC,,Ferrari,,Charles,Leclerc,Charles Leclerc,,,,,,,,,,,2021,Styrian Grand Prix
14,ALO,,Alpine,,Fernando,Alonso,Fernando Alonso,,,,,,,,,,,2021,Styrian Grand Prix
18,STR,,Aston Martin,,Lance,Stroll,Lance Stroll,,,,,,,,,,,2021,Styrian Grand Prix
63,RUS,,Williams,,George,Russell,George Russell,,,,,,,,,,,2021,Styrian Grand Prix
22,TSU,,AlphaTauri,,Yuki,Tsunoda,Yuki Tsunoda,,,,,,,,,,,2021,Styrian Grand Prix
55,SAI,,Ferrari,,Carlos,Sainz,Carlos Sainz,,,,,,,,,,,2021,Styrian Grand Prix
3,RIC,,McLaren,,Daniel,Ricciardo,Daniel Ricciardo,,,,,,,,,,,2021,Styrian Grand Prix
5,VET,,Aston Martin,,Sebastian,Vettel,Sebastian Vettel,,,,,,,,,,,2021,Styrian Grand Prix
99,GIO,,Alfa Romeo Racing,,Antonio,Giovinazzi,Antonio Giovinazzi,,,,,,,,,,,2021,Styrian Grand Prix
6,LAT,,Williams,,Nicholas,Latifi,Nicholas Latifi,,,,,,,,,,,2021,Styrian Grand Prix
31,OCO,,Alpine,,Esteban,Ocon,Esteban Ocon,,,,,,,,,,,2021,Styrian Grand Prix
7,RAI,,Alfa Romeo Racing,,Kimi,Räikkönen,Kimi Räikkönen,,,,,,,,,,,2021,Styrian Grand Prix
47,MSC,,Haas F1 Team,,Mick,Schumacher,Mick Schumacher,,,,,,,,,,,2021,Styrian Grand Prix
9,MAZ,,Haas F1 Team,,Nikita,Mazepin,Nikita Mazepin,,,,,,,,,,,2021,Styrian Grand Prix
